"","X","Species","subspecies","Mig_Sed","HowAssignedMig_Sed","Specimen..","Mass","Measurer","Collection","Collection.Year","Collection.Month","Collection.Day","Country","State.province","County.District","Locality","Elevation","Latitude","Longitude","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Age","Sex","Kipp.s.Index","tip.label"
"1547",1584,"Tyrannus_caudifasciatus","taylori","sedentary","taxonomy","171596",NA,"MM","Smithsonian tiol Museum of tural History","1900",4,"3","Puerto Rico","","","Arecibo","",18.22433,-66.2718,21.615,9.975,NA,25.225,24.9755,113.73,89.94,"Adult","Male",21.960344675987,"Tyrannus_caudifasciatus_taylori"
"1548",1585,"Tyrannus_caudifasciatus","taylori","sedentary","taxonomy","171597",NA,"MM","Smithsonian tiol Museum of tural History","1900",4,"11","Puerto Rico","","","Utuado","",18.22433,-66.2718,21.75,9.715,NA,23.625,25.675,117.54,NA,"Adult","Male",21.8436277012081,"Tyrannus_caudifasciatus_taylori"
"1549",1586,"Tyrannus_tyrannus","","migratory","taxonomy","171718",41.8,"MM","Louisiana State University Museum of tural Sciences","",NA,"","United States of America","Louisiana","Calcasieu","~4 mi. ESE of Vinton, Fabacher Road","",30.16,-93.5,14.81,8.46,7.055,19.525,NA,NA,NA,"Adult","Male",NA,"Tyrannus_tyrannus"
"1551",1588,"Tyrannus_forficatus","","migratory","taxonomy","171720",51.9,"MM","Louisiana State University Museum of tural Sciences","1999",6,"17","United States of America","Louisiana","Calcasieu","~4 mi. ESE of Vinton, Fabacher road","",30.16,-93.5,13.55,7.545,6.815,18.385,NA,NA,NA,"Adult","Male",NA,"Tyrannus_forficatus"
"1553",1590,"Tyrannus_melancholicus","satrapa","partial","taxonomy","171812",41,"MM","Louisiana State University Museum of tural Sciences","2004",3,"24","Panama","Pama","","Isla San Jose","0m",8.25,-79.116667,17.66,10.02,7.615,19.48,30.19,118.155,102.31,"Adult","Male",25.5511827683974,"Tyrannus_melancholicus_satrapa"
"1554",1591,"Tyrannus_cubensis","","sedentary","taxonomy","172599",NA,"MM","Smithsonian tiol Museum of tural History","1900",4,"17","Cuba","Pir Del Rio","","San Diego De Los Banos","",22.64667,-83.3697,26.98,13.61,11.29,22.79,33.655,130.115,NA,"Adult","Male",25.8655804480652,"Tyrannus_cubensis"
"1555",1592,"Tyrannus_cubensis","","sedentary","taxonomy","172600",NA,"MM","Smithsonian tiol Museum of tural History","1900",5,"9","Cuba","","","Mariel","",22.96515,-82.8032,26.535,13.915,11.225,22.915,NA,NA,NA,"Adult","Male",NA,"Tyrannus_cubensis"
"1558",1595,"Tyrannus_caudifasciatus","caudifasciatus","sedentary","taxonomy","172614",NA,"MM","Smithsonian tiol Museum of tural History","1900",5,"15","Cuba","Pir Del Rio","","Cabas","",22,-79.5,18.175,8.2,NA,21,NA,NA,NA,"Adult","Male",NA,"Tyrannus_caudifasciatus_caudifasciatus"
"1559",1596,"Tyrannus_caudifasciatus","caudifasciatus","sedentary","taxonomy","172615",NA,"MM","Smithsonian tiol Museum of tural History","1900",5,"9","Cuba","","","Mariel","",22.96515,-82.8032,19.47,9.115,7.97,22.71,NA,NA,NA,"Adult","Male",NA,"Tyrannus_caudifasciatus_caudifasciatus"
"1560",1597,"Tyrannus_caudifasciatus","caudifasciatus","sedentary","taxonomy","172616",NA,"MM","Smithsonian tiol Museum of tural History","1900",5,"4","Cuba","La Haba","","Guajay","",23.00301,-82.424,19.805,8.78,7.155,22.185,24.01,107.77,NA,"Adult","Male",22.2789273452723,"Tyrannus_caudifasciatus_caudifasciatus"
"1561",1598,"Tyrannus_caudifasciatus","caudifasciatus","sedentary","taxonomy","172617",NA,"MM","Smithsonian tiol Museum of tural History","1900",5,"6","Cuba","Pir Del Rio","","Guajay","",23.00301,-82.424,19.165,9.445,7.295,22.075,23.65,107.465,NA,"Adult","Male",22.0071651235286,"Tyrannus_caudifasciatus_caudifasciatus"
"1563",1600,"Tyrannus_couchii","","partial","taxonomy","172713",52.1,"MM","Louisiana State University Museum of tural Sciences","2001",12,"27","United States of America","Louisiana","Evangeline","4 miles west Ville Platte, 1/2 mil north on HWY 10","",30.69347,-92.2846,NA,10.41,7.31,19.665,34.19,123.605,101.8,"Adult","Male",27.6606933376482,"Tyrannus_couchii"
"1564",1601,"Tyrannus_caudifasciatus","taylori","sedentary","taxonomy","172798",NA,"MM","Smithsonian tiol Museum of tural History","1900",7,"8","Cuba","Isle Of Pines","","Nueva Gero","",18.22433,-66.2718,19.74,8.545,7.41,22.575,NA,NA,NA,"Adult","Male",NA,"Tyrannus_caudifasciatus_taylori"
"1565",1602,"Tyrannus_caudifasciatus","taylori","sedentary","taxonomy","172799",NA,"MM","Smithsonian tiol Museum of tural History","1900",6,"28","Cuba","Isle Of Pines","","Nueva Gero","",18.22433,-66.2718,20.615,9.515,7.38,22.945,NA,NA,NA,"Adult","Male",NA,"Tyrannus_caudifasciatus_taylori"
"1567",1604,"Tyrannus_savana","savana","migratory","taxonomy","173493",NA,"MM","The Field Museum","1892",6,"2","Guyana","","","Annai","",3.95,-59.13,11.05,6.36,5.71,15.88,32,100.195,NA,"Adult","Male",31.9377214431858,"Tyrannus_savana_savana"
"1568",1605,"Tyrannus_savana","savana","migratory","taxonomy","173494",NA,"MM","The Field Museum","1892",6,"3","Guyana","","","Annai","",3.95,-59.13,NA,7.07,5.125,17.34,41.645,115.355,NA,"Adult","Male",36.1015994105154,"Tyrannus_savana_savana"
"1570",1607,"Tyrannus_vociferans","vociferans","partial","taxonomy","173509",NA,"MM","The Field Museum","1924",1,"26","Mexico","Baja California","","El Valle","",26.88333,-112.467,16.38,9.295,7.34,19.715,39.065,126.765,92.53,"Adult","Male",30.8168658541395,"Tyrannus_vociferans_vociferans"
"1573",1610,"Tyrannus_vociferans","vociferans","partial","taxonomy","173511",NA,"MM","The Field Museum","1931",4,"14","Mexico","Sonora","","Guirocoba","",26.696,-108.869,14.175,8.365,6.675,19.59,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"1575",1612,"Tyrannus_melancholicus","satrapa","partial","taxonomy","173520",NA,"MM","The Field Museum","1930",12,"6","Costa Rica","Guanacaste","","Tempate","46m",10.41416,-85.7202,18.455,9.67,7.015,18.685,NA,NA,91.33,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"1577",1614,"Tyrannus_melancholicus","satrapa","partial","taxonomy","173522",NA,"MM","The Field Museum","1930",10,"6","Costa Rica","Guanacaste","","Filadelfia","",10.44458,-85.5515,18.755,9.835,7.29,20.71,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"1578",1615,"Tyrannus_melancholicus","satrapa","partial","taxonomy","173523",NA,"MM","The Field Museum","1931",1,"16","Costa Rica","Puntarenas","","Puntarenas","0m",9.976149,-84.8388,20.05,10.48,7.48,18.9,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"1582",1619,"Tyrannus_couchii","","partial","taxonomy","173528",NA,"MM","The Field Museum","1930",10,"3","United States of America","Texas","Cameron County","","",26.187483,-97.484436,15.825,10.7,7.725,19.69,31.415,120.595,NA,"Adult","Male",26.0500020730544,"Tyrannus_couchii"
"1583",1620,"Tyrannus_couchii","","partial","taxonomy","173529",NA,"MM","The Field Museum","1930",10,"3","United States of America","Texas","Cameron County","","",26.187483,-97.484436,16.74,10.265,7.355,19.56,32.325,119.405,99.39,"Adult","Male",27.071730664545,"Tyrannus_couchii"
"1587",1624,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","173536",NA,"MM","The Field Museum","1929",8,"20","United States of America","Florida","Volusia","Oak Hill","",28.864434,-80.854496,21.83,11.27,8.645,18.855,NA,NA,NA,"Adult","Male",NA,"Tyrannus_dominicensis_dominicensis"
"1590",1627,"Tyrannus_caudifasciatus","bahamensis","sedentary","taxonomy","173676",NA,"Nacho","American Museum of tural History","1922",2,"7","Bahamas","","","Nassau","",25.06795,-77.3099,20.5,8.8,7.4,22.45,23.75,107,83,"Adult","Male",22.196261682243,"Tyrannus_caudifasciatus_bahamensis"
"1594",1631,"Tyrannus_forficatus","","migratory","taxonomy","174438",37.3,"MM","Louisiana State University Museum of tural Sciences","2002",4,"3","United States of America","Texas","Webb County","Rio Grande and vicinity, ~32 miles NW Loreto, from intersection of I-35 and road 1472","",27.8777,-99.8852,14.305,8.145,5.825,19.025,52.785,125.035,217,"Adult","Male",42.2161794697485,"Tyrannus_forficatus"
"1596",1633,"Tyrannus_tyrannus","","migratory","taxonomy","175264",39.8,"MM","Louisiana State University Museum of tural Sciences","",NA,"","United States of America","Louisiana","Calcasieu","ovary 7.5x5.5mm, ova minute, oviduct destroyed by shot, skull 100% oss. Heavy fat, iris dark brown, tarsi, feet, bill black, light tail and moderate head molt, shot in tall grass and scrub along roadside, syrinx saved. Note: Used website (http://bridgehunter.com/la/jefferson/caminada-bay/) to identify where Caminada Bridge was.","",32.07716,-80.9507,13.48,8.38,6.505,17.67,39.465,118.89,83.82,"Adult","Male",33.1945495836488,"Tyrannus_tyrannus"
"1597",1634,"Tyrannus_tyrannus","","migratory","taxonomy","175606",39,"MM","Louisiana State University Museum of tural Sciences","",NA,"","United States of America","Louisiana","Vernon Parish","Fort Polk, Building 1492","",31.04658,-93.2054,14.375,8,6.425,18.455,39.6,117.255,80.93,"Adult","Male",33.7725470129206,"Tyrannus_tyrannus"
"1603",1640,"Tyrannus_tyrannus","","migratory","taxonomy","177166",40,"MM","Louisiana State University Museum of tural Sciences","",NA,"","United States of America","Louisiana","Rapides Parish","Kisatchee tiol Forest, Evangeline District, ~6 mi. W of Glenmora","",30.97654,-92.6867,14.925,7.795,6.67,18.68,41.895,119.445,NA,"Adult","Male",35.074720582695,"Tyrannus_tyrannus"
"1604",1641,"Tyrannus_tyrannus","","migratory","taxonomy","177167",38.5,"MM","Louisiana State University Museum of tural Sciences","",NA,"","United States of America","Louisiana","Rapides Parish","Kisatchee tiol Forest, Evangeline District, Melder Road","",30.25,-92.5667,12.69,7.55,6.34,17.32,37.26,109.865,NA,"Adult","Male",33.9143494288445,"Tyrannus_tyrannus"
"1607",1644,"Tyrannus_caudifasciatus","caudifasciatus","sedentary","taxonomy","177412",NA,"MM","Smithsonian tiol Museum of tural History","1901",12,"4","","","","","",22,-79.5,21.29,9.14,7.265,22.665,24.515,104.17,82.72,"Adult","Male",23.5336469232985,"Tyrannus_caudifasciatus_caudifasciatus"
"1609",1646,"Tyrannus_cubensis","","sedentary","taxonomy","177499",NA,"MM","Smithsonian tiol Museum of tural History","1901",12,"17","Cuba","","","Guama","",22.48333,-83.7333,27.345,NA,12.17,22.53,32.955,129.4,96.52,"Adult","Male",25.467542503864,"Tyrannus_cubensis"
"1611",1648,"Tyrannus_caudifasciatus","caudifasciatus","sedentary","taxonomy","177840",NA,"MM","Smithsonian tiol Museum of tural History","1902",1,"27","Cuba","Guantamo","","Baracoa","",23.01667,-82.55,NA,8.585,6.99,22.74,24.8,106.54,87.15,"Adult","Male",23.2776422001126,"Tyrannus_caudifasciatus_caudifasciatus"
"1612",1649,"Tyrannus_caudifasciatus","caudifasciatus","sedentary","taxonomy","177841",NA,"MM","Smithsonian tiol Museum of tural History","1902",2,"4","Cuba","","","Baracoa","",23.01667,-82.55,18.405,8.725,7.22,23.715,27.49,107.985,86.88,"Adult","Male",25.4572394314025,"Tyrannus_caudifasciatus_caudifasciatus"
"1619",1656,"Tyrannus_melancholicus","satrapa","partial","taxonomy","178828",39.1,"MM","Louisiana State University Museum of tural Sciences","2004",4,"10","Panama","Veraguas","","Isla Coiba, Bahia de Juncal","",7.5,-81.7,17.625,9.285,7.195,18.375,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"1623",1660,"Tyrannus_savana","savana","migratory","taxonomy","181094",NA,"MM","The Field Museum","1937",1,"15","Bolivia","Santa Cruz","Ichilo","Buenavista","400m",-17.4566,-63.6588,10.91,6.33,5.88,17.595,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_savana"
"1628",1665,"Tyrannus_vociferans","vociferans","partial","taxonomy","182000",44,"MM","Louisiana State University Museum of tural Sciences","2006",10,"9","United States of America","Texas","Jeff Davis County","Farm House, Miller Ranch, 12.5 km west of Valentine ","1296m",30.6,-104.6333,16.51,8.99,6.955,19.955,NA,NA,94.47,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"1629",1666,"Tyrannus_vociferans","vociferans","partial","taxonomy","182001",57,"MM","Louisiana State University Museum of tural Sciences","2006",10,"9","United States of America","Texas","Jeff Davis County","Miller Ranch, 12.5 km west of Valentine","1296m",30.6,-104.6333,14.375,8.42,7.18,19.65,36.89,128.77,95.23,"Adult","Male",28.6479770132795,"Tyrannus_vociferans_vociferans"
"1634",1671,"Tyrannus_niveigularis","","partial","taxonomy","183316",34.5,"MM","Louisiana State University Museum of tural Sciences","2009",6,"3","Peru","Tumbes","","Rica Playa on the Rio Tumbes, 25 km SE Zorritos","",-3.83253,-80.4996,NA,7.625,5.9,17.825,25.275,101.95,79.05,"Adult","Male",24.7915644923982,"Tyrannus_niveigularis"
"1635",1672,"Tyrannus_niveigularis","","partial","taxonomy","183317",31.7,"MM","Louisiana State University Museum of tural Sciences","2009",6,"28","Peru","Tumbes","","Rio Bocapan, 7 km SSW Zorritos","",-3.73123,-80.684,15.05,9,6.275,18,25.525,101,78.3,"Adult","Male",25.2722772277228,"Tyrannus_niveigularis"
"1636",1673,"Tyrannus_niveigularis","","partial","taxonomy","183318",32,"MM","Louisiana State University Museum of tural Sciences","2009",6,"29","Peru","Tumbes","","Cienega Norte","",-3.556492,-80.427088,14.55,8.375,5.5,19.125,22.8,98.3,75.55,"Adult","Male",23.1943031536114,"Tyrannus_niveigularis"
"1638",1675,"Tyrannus_niveigularis","","partial","taxonomy","183320",34.6,"MM","Louisiana State University Museum of tural Sciences","2009",7,"10","Peru","Tumbes","","Parque ciol Cerros de Amotape, El Platano","",-3.88333,-80.8333,15.225,8.375,6.2,16.9,23.05,100.425,77.1,"Adult","Male",22.9524520786657,"Tyrannus_niveigularis"
"1639",1676,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","183321",45.1,"MM","Louisiana State University Museum of tural Sciences","2009",6,"3","Peru","Tumbes","","Rio Tumbes, Rica Playa, ~27 km SE Zorritos","60m",-3.8169,-80.4886,18.88,9.97,7.785,18.58,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_melancholicus"
"1640",1677,"Tyrannus_crassirostris","crassirostris","migratory","taxonomy","183394",NA,"MM","The Field Museum","1946",6,"21","Mexico","Guerrero","","Chilpancingo","",17.5506,-99.5058,20.045,13.13,10.5,21.145,40.9,132.495,97.7,"Adult","Male",30.8690893996,"Tyrannus_crassirostris_crassirostris"
"1645",1682,"Tyrannus_vociferans","xenopterus","sedentary","taxonomy","183399",NA,"MM","The Field Museum","1946",2,"4","Mexico","Guerrero","","Chilpancingo","",17.5506,-99.5058,13.555,8.08,6.605,20.88,42.775,133.21,90.78,"Adult","Male",32.1109526311838,"Tyrannus_vociferans_xenopterus"
"1650",1687,"Tyrannus_vociferans","xenopterus","sedentary","taxonomy","183404",NA,"MM","The Field Museum","1946",6,"20","Mexico","Guerrero","","Chilpancingo","",17.5506,-99.5058,13.895,7.735,6.375,19.13,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_xenopterus"
"1651",1688,"Tyrannus_vociferans","xenopterus","sedentary","taxonomy","183405",NA,"MM","The Field Museum","1946",5,"8","Mexico","Guerrero","","Chilpancingo","",17.5506,-99.5058,14.97,7.72,6.065,19.65,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_xenopterus"
"1652",1689,"Tyrannus_vociferans","xenopterus","sedentary","taxonomy","183406",NA,"MM","The Field Museum","1946",1,"19","Mexico","Guerrero","","Chilpancingo","",17.5506,-99.5058,16.08,8.97,6.64,19.8,34.645,122.235,90.07,"Adult","Male",28.3429459647401,"Tyrannus_vociferans_xenopterus"
"1654",1691,"Tyrannus_vociferans","xenopterus","sedentary","taxonomy","183408",NA,"MM","The Field Museum","1946",6,"9","Mexico","Guerrero","","Chilpancingo","",17.5506,-99.5058,14.86,8.12,6.765,20.13,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_xenopterus"
"1655",1692,"Tyrannus_vociferans","xenopterus","sedentary","taxonomy","183409",NA,"MM","The Field Museum","1946",4,"27","Mexico","Guerrero","","Chilpancingo","",17.5506,-99.5058,14.67,8.105,6.33,19.165,NA,NA,88.94,"Adult","Male",NA,"Tyrannus_vociferans_xenopterus"
"1657",1694,"Tyrannus_savana","circumdatus","sedentary","taxonomy","183870",NA,"MM","The Field Museum","1934",9,"9","Brazil","Para","","Ilha de Urucurituba","",-4.21667,-56.0167,11.99,6.645,5.415,18.775,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_circumdatus"
"1659",1696,"Tyrannus_albogularis","","migratory","taxonomy","183872",NA,"MM","The Field Museum","1934",8,"28","Brazil","Para","","Santarem","",-2.4359,-54.715599,14.995,8.35,6.305,17.26,31.3,107.735,96.02,"Adult","Male",29.052768366826,"Tyrannus_albogularis"
"1660",1697,"Tyrannus_tyrannus","","migratory","taxonomy","183951",37.6,"MM","Louisiana State University Museum of tural Sciences","",NA,"","United States of America","Louisiana","Cameron Parish","HWY 27 near ture trail on Sabine tion wildlife refuge","",31.5667,-93.55,14.51,8.215,7.175,19.65,38.725,116.53,81.87,"Adult","Male",33.2317858062302,"Tyrannus_tyrannus"
"1661",1698,"Tyrannus_tyrannus","","migratory","taxonomy","184152",38.6,"MM","Louisiana State University Museum of tural Sciences","",NA,"","United States of America","Louisiana","East Baton Rouge","~0.5 mi. N of junction with River Road and 991","",30.32737,-91.158446,13.625,7.875,6.355,18.97,38.855,112.47,76.95,"Adult","Male",34.5469903085267,"Tyrannus_tyrannus"
"1663",1700,"Tyrannus_savana","savana","migratory","taxonomy","185213",NA,"MM","The Field Museum","1945",12,"28","Paraguay","Boqueron","","Orloff","",-22,-59.916667,11.3,7.015,5.745,17.12,32.455,106.025,NA,"Adult","Male",30.6107050224004,"Tyrannus_savana_savana"
"1665",1702,"Tyrannus_dominicensis","vorax","sedentary","taxonomy","185307",NA,"MM","The Field Museum","1890",5,"6","Antigua","","","","",17.06869,-61.7828,22.375,12.015,8.45,18.945,29.135,109.605,NA,"Adult","Male",26.5818165229688,"Tyrannus_dominicensis_vorax"
"1666",1703,"Tyrannus_crassirostris","crassirostris","migratory","taxonomy","185850",NA,"MM","Smithsonian tiol Museum of tural History","1903",5,"10","Mexico","Guerrero","","Acahuizotla","",16.58333,-93.6333,19.165,NA,NA,20.28,NA,NA,NA,"Adult","Male",NA,"Tyrannus_crassirostris_crassirostris"
"1667",1704,"Tyrannus_couchii","","partial","taxonomy","187233",NA,"MM","The Field Museum","1948",8,"24","Mexico","Veracruz","","Dos Caminos, km 356","1219m",19.19098,-96.6515,15.055,9.29,7.475,19.585,31.345,119.3,96.9,"Adult","Male",26.2740989103101,"Tyrannus_couchii"
"1668",1705,"Tyrannus_caudifasciatus","bahamensis","sedentary","taxonomy","189783",NA,"MM","Smithsonian tiol Museum of tural History","1903",7,"20","Bahamas","New Providence","New Providence District","","",25.75,-77.8333,19.365,9.275,7.005,21.865,26.85,106.345,82.49,"Adult","Male",25.2480135408341,"Tyrannus_caudifasciatus_bahamensis"
"1669",1706,"Tyrannus_caudifasciatus","bahamensis","sedentary","taxonomy","189784",NA,"MM","Smithsonian tiol Museum of tural History","1903",6,"19","Bahamas","New Providence","New Providence District","","",25.75,-77.8333,19.66,9.5,7.465,22.45,27.275,108.985,87.36,"Adult","Male",25.0263797770335,"Tyrannus_caudifasciatus_bahamensis"
"1671",1708,"Tyrannus_savana","savana","migratory","taxonomy","190472",NA,"MM","The Field Museum","1948",12,"8","Paraguay","Boqueron","","Orloff","",-22,-59.916667,NA,6.765,5.315,18.775,NA,NA,281.85,"Adult","Male",NA,"Tyrannus_savana_savana"
"1672",1709,"Tyrannus_savana","savana","migratory","taxonomy","190473",NA,"MM","The Field Museum","1948",12,"8","Paraguay","Boqueron","","Orloff","",-22,-59.916667,11.495,7.23,5.54,17.53,37.45,109.05,258.607,"Adult","Male",34.3420449335167,"Tyrannus_savana_savana"
"1673",1710,"Tyrannus_melancholicus","melancholicus","partial","no location data","190481",NA,"MM","The Field Museum","1948",12,"9","Paraguay","Boqueron","","Orloff","",-22,-59.916667,17.32,9.5,6.685,18.05,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_melancholicus"
"1680",1717,"Tyrannus_melancholicus","satrapa","partial","taxonomy","208970",40.7,"MM","The Field Museum","1950",8,"17","Mexico","Chiapas","","San Bartolo, 35 mi NW Arriaga","",16.57753,-93.9271,17.105,9.36,7.22,18.93,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"1683",1720,"Tyrannus_melancholicus","satrapa","partial","taxonomy","208973",51.1,"MM","The Field Museum","1950",7,"16","Mexico","Chiapas","","40 mi NW of Arriaga, Hacienda Monserrate","",16.27376,-94.5384,17.565,10.155,NA,19.87,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"1684",1721,"Tyrannus_melancholicus","satrapa","partial","taxonomy","208974",48.1,"MM","The Field Museum","1950",7,"16","Mexico","Chiapas","","40 mi NW of Arriaga, Hacienda Monserrate","",16.27376,-94.5384,18.02,9.78,7.705,19.47,NA,NA,102.91,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"1685",1722,"Tyrannus_melancholicus","satrapa","partial","taxonomy","208975",44,"MM","The Field Museum","1950",7,"18","Mexico","Chiapas","","42mi W of Arriaga, Hacienda Monserrata","",16.27376,-94.5384,16.49,10.545,7.39,19.815,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"1686",1723,"Tyrannus_melancholicus","satrapa","partial","taxonomy","208976",39.6,"MM","The Field Museum","1950",7,"16","Mexico","Chiapas","","40 mi NW of Arriaga, Hacienda Monserrate","",16.27376,-94.5384,18.05,9.63,6.815,19.065,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"1687",1724,"Tyrannus_couchii","","partial","taxonomy","208977",55.7,"MM","The Field Museum","1950",9,"7","Mexico","Tamaulipas","","Pano Ayuctle, 30 mi N El Mante, Rio Sabinas","",23.03185,-99.1459,16.495,10.205,7.335,19.28,NA,NA,NA,"Adult","Male",NA,"Tyrannus_couchii"
"1693",1730,"Tyrannus_savana","monachus SA","sedentary","taxonomy","213872",NA,"MM","The Field Museum","1949",4,"21","Colombia","Valle de Cauca","","Cali, 15 km S","",3.450614,-76.5294,12.005,6.725,5.07,17.22,34.785,105.22,294.268,"Adult","Male",33.0593043147691,"Tyrannus_savana_monachus_SA"
"1697",1734,"Tyrannus_caudifasciatus","taylori","sedentary","taxonomy","232152",NA,"MM","Smithsonian tiol Museum of tural History","1912",1,"27","Puerto Rico","","","Aibonito","2000 feet",18.22433,-66.2718,19.615,9.965,NA,23.67,25.02,115.6,94.02,"Adult","Male",21.643598615917,"Tyrannus_caudifasciatus_taylori"
"1698",1735,"Tyrannus_caudifasciatus","taylori","sedentary","taxonomy","232153",NA,"MM","Smithsonian tiol Museum of tural History","1912",1,"30","Puerto Rico","","","Aibonito","2000 feet",18.22433,-66.2718,20.235,10.1,8.175,25.91,23.645,113.685,93.97,"Adult","Male",20.7986981571887,"Tyrannus_caudifasciatus_taylori"
"1699",1736,"Tyrannus_caudifasciatus","taylori","sedentary","taxonomy","232154",NA,"MM","Smithsonian tiol Museum of tural History","1912",1,"31","Puerto Rico","","","Aibonito, 2 mi N","",18.22433,-66.2718,21.11,10.725,8.095,24.275,26.125,117.625,95.14,"Adult","Male",22.2104144527099,"Tyrannus_caudifasciatus_taylori"
"1701",1738,"Tyrannus_caudifasciatus","taylori","sedentary","taxonomy","232156",NA,"MM","Smithsonian tiol Museum of tural History","1912",3,"21","Puerto Rico","Vieques","","Vieques Island, Enseda Honda","",18.1219,-65.3651,21.51,10.25,7.71,23.59,25.3,112.9,92.64,"Adult","Male",22.4092116917626,"Tyrannus_caudifasciatus_taylori"
"1703",1740,"Tyrannus_caudifasciatus","taylori","sedentary","taxonomy","232158",NA,"MM","Smithsonian tiol Museum of tural History","1912",2,"27","Puerto Rico","Rio Grande","","Mameyes, El Yunque, NE base","",18.22433,-66.2718,20.17,10.725,NA,23.845,24.585,113.27,94.35,"Adult","Male",21.7047761984638,"Tyrannus_caudifasciatus_taylori"
"1709",1746,"Tyrannus_caudifasciatus","taylori","sedentary","taxonomy","232165",NA,"MM","Smithsonian tiol Museum of tural History","1911",12,"19","Puerto Rico","San Juan","","Rio Piedras, 1 mi E","",18.22433,-66.2718,21.875,10.09,7.415,23.235,23.985,115.27,94.89,"Adult","Male",20.8076689511581,"Tyrannus_caudifasciatus_taylori"
"1713",1750,"Tyrannus_caudifasciatus","taylori","sedentary","taxonomy","232169",NA,"MM","Smithsonian tiol Museum of tural History","1911",12,"22","Puerto Rico","San Juan","","Rio Piedras, 4 mi NE","",18.22433,-66.2718,20.995,10.04,8.52,24.82,25.7,113.725,92.11,"Adult","Male",22.5983732688503,"Tyrannus_caudifasciatus_taylori"
"1714",1751,"Tyrannus_caudifasciatus","taylori","sedentary","taxonomy","232170",NA,"MM","Smithsonian tiol Museum of tural History","1911",12,"24","Puerto Rico","","","Rio Piedras, 2 mi S","",18.22433,-66.2718,20.53,10.54,8.115,24.42,25.86,113.615,90.96,"Adult","Male",22.7610790828676,"Tyrannus_caudifasciatus_taylori"
"1717",1754,"Tyrannus_caudifasciatus","taylori","sedentary","taxonomy","232173",NA,"MM","Smithsonian tiol Museum of tural History","1912",3,"25","Puerto Rico","Vieques","","Vieques Island, Puerto Ferro","",18.22433,-66.2718,19.99,9.915,8.1,23.815,25.125,118.85,96.23,"Adult","Male",21.140092553639,"Tyrannus_caudifasciatus_taylori"
"1719",1756,"Tyrannus_caudifasciatus","taylori","sedentary","taxonomy","232175",NA,"MM","Smithsonian tiol Museum of tural History","1912",3,"29","Puerto Rico","Vieques","","Vieques Island, Puerto Ferro","",18.22433,-66.2718,20.87,9.925,8.335,24.66,26.3,118.82,97.4,"Adult","Male",22.1343208214105,"Tyrannus_caudifasciatus_taylori"
"1720",1757,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","232208",NA,"Nacho","American Museum of tural History","1926",5,"25","Peru","","","Puerto India, Râ€™o Amazos","",-2.78333,-70.1167,17.6,9.8,8.4,18.1,31.05,116.5,96,"Adult","Male",26.6523605150215,"Tyrannus_melancholicus_melancholicus"
"1721",1758,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","232209",NA,"Nacho","American Museum of tural History","1926",5,"17","Peru","","","Puerto India, Râ€™o Amazos","",-2.78333,-70.1167,18.6,9.5,8.1,19.7,34,115.5,92,"Adult","Male",29.4372294372294,"Tyrannus_melancholicus_melancholicus"
"1722",1759,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","232210",NA,"Nacho","American Museum of tural History","1926",6,"4","Peru","","","Puerto India, Râ€™o Amazos","",-2.78333,-70.1167,16.5,8.9,7.2,18.45,28.55,115.5,97,"Adult","Male",24.7186147186147,"Tyrannus_melancholicus_melancholicus"
"1727",1764,"Tyrannus_caudifasciatus","taylori","sedentary","taxonomy","238200",NA,"MM","Smithsonian tiol Museum of tural History","1912",5,"11","Puerto Rico","","","Maubo, La Pica","",18.22433,-66.2718,21.6,10.66,7.705,24.295,27.495,115.555,89.86,"Adult","Male",23.7938643935788,"Tyrannus_caudifasciatus_taylori"
