"","X","Species","subspecies","Mig_Sed","HowAssignedMig_Sed","Specimen..","Mass","Measurer","Collection","Collection.Year","Collection.Month","Collection.Day","Country","State.province","County.District","Locality","Elevation","Latitude","Longitude","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Age","Sex","Kipp.s.Index","tip.label"
"222",229,"Tyrannus_couchii","","partial","taxonomy","19087",NA,"MM","Louisiana State University Museum of tural Sciences","1952",9,"22","Mexico","San Luis Potosi","","El Limon near Ebano, Jututabiul","",21.54641,-99.6162,17.27,10.56,7.85,19.75,31.315,119.18,98.68,"Adult","Male",26.2753817754657,"Tyrannus_couchii"
"223",230,"Tyrannus_caudifasciatus","gabbii","sedentary","taxonomy","19546",NA,"MM","The Field Museum","1881",2,"","Haiti","","","Port au Prince","",18.5392,-72.335,18.645,8.535,6.595,21.3,21.215,99.015,82.59,"Adult","Male",21.4260465586022,"Tyrannus_caudifasciatus_gabbii"
"224",231,"Tyrannus_caudifasciatus","gabbii","sedentary","taxonomy","19547",NA,"MM","The Field Museum","1881",3,"5","Haiti","","","Port au Prince","",18.53917,-72.335,17.795,8.485,7.075,19.23,22.445,103.675,NA,"Adult","Male",21.649385097661,"Tyrannus_caudifasciatus_gabbii"
"225",232,"Tyrannus_caudifasciatus","gabbii","sedentary","taxonomy","19548",NA,"MM","The Field Museum","1883",1,"26","Dominican Republic","","","Magua","",18.4667,-69.9,18.82,8.415,6.44,21.515,23.58,103.65,78.89,"Adult","Male",22.7496382054993,"Tyrannus_caudifasciatus_gabbii"
"230",239,"Tyrannus_couchii","","partial","taxonomy","19920",NA,"MM","Louisiana State University Museum of tural Sciences","1954",6,"4","Mexico","San Luis Potosi","","Tamazunchanle, Queche Mosca","",21.25151,-98.7825,16.505,9.515,7.295,18.235,NA,NA,NA,"Adult","Male",NA,"Tyrannus_couchii"
"237",246,"Tyrannus_verticalis","","migratory","taxonomy","20586",NA,"MM","Royal Ontario Museum","1934",8,"10","United States of America","Utah","Uintah County","12 mi SE Verl, mouth at Ashley Creek","",40.21865,-109.204,13.02,7.43,6.3,20.735,44.005,127.22,87.31,"Adult","Male",34.5896871561075,"Tyrannus_verticalis"
"238",247,"Tyrannus_savana","monachus CA","sedentary","taxonomy","20669",NA,"MM","Louisiana State University Museum of tural Sciences","1955",3,"22","Belize","Orange Walk","","6 miles NE Hill Bank","45 feet",17.66286,-88.6309,11.48,6.49,4.89,17.835,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_monachus_CA"
"239",248,"Tyrannus_melancholicus","satrapa","partial","taxonomy","20670",38.5,"MM","Louisiana State University Museum of tural Sciences","1955",2,"22","Belize","Orange Walk","Orange Walk District","Gallon Jug","400 ft",18.08,-88.57,17.615,10.265,7.2,18.125,28.905,113,100.15,"Adult","Male",25.5796460176991,"Tyrannus_melancholicus_satrapa"
"241",250,"Tyrannus_melancholicus","satrapa","partial","taxonomy","20672",37.2,"MM","Louisiana State University Museum of tural Sciences","1955",3,"7","Belize","Orange Walk","Orange Walk District","Gallong Jug","400 ft.",18.08,-88.57,17.585,9.905,7.16,18.105,28.45,113.31,91.54,"Adult","Male",25.1081104933369,"Tyrannus_melancholicus_satrapa"
"246",255,"Tyrannus_verticalis","","migratory","taxonomy","21078",NA,"MM","Royal Ontario Museum","1911",6,"1","Canada","British Columbia","North Okagan Regiol District","Okagan Landing","",50.23334,-119.367,12.84,7.465,6.305,18.445,40.01,123.37,89.16,"Adult","Male",32.4308989219421,"Tyrannus_verticalis"
"247",256,"Tyrannus_tyrannus","","migratory","taxonomy","21159",46.9,"MM","Louisiana State University Museum of tural Sciences","",NA,"","Belize","Belize","Belize District","Turnette, Calabash Cay","",17.26667,-87.8167,14.55,8.065,6.47,18.8,35.455,110.37,69.3,"Adult","Male",32.1237655159917,"Tyrannus_tyrannus"
"249",258,"Tyrannus_melancholicus","satrapa","partial","taxonomy","21161",36.2,"MM","Louisiana State University Museum of tural Sciences","1956",4,"10","Belize","Belize","Belize District","Turneffe Calabash Cay","",17.2729,-87.8172,19.01,10.195,NA,17.47,29.735,110.68,NA,"Adult","Male",26.8657390675822,"Tyrannus_melancholicus_satrapa"
"250",259,"Tyrannus_melancholicus","satrapa","partial","taxonomy","21162",47,"MM","Louisiana State University Museum of tural Sciences","1956",3,"20","Belize","Cayo","Cayo District","2 mi. S Augustine","",16.93481,-88.9826,17.645,9.085,7.055,19.135,30.025,116.59,NA,"Adult","Male",25.7526374474655,"Tyrannus_melancholicus_satrapa"
"252",261,"Tyrannus_melancholicus","satrapa","partial","taxonomy","21164",39.1,"MM","Louisiana State University Museum of tural Sciences","1956",5,"29","Belize","Orange Walk","Orange Walk District","Gallon Jug","",18.08,-88.57,18.26,10.295,7.05,19.525,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"254",263,"Tyrannus_melancholicus","satrapa","partial","taxonomy","21166",42.2,"MM","Louisiana State University Museum of tural Sciences","1956",5,"9","Belize","Toledo","Toledo District","2 mi. W San Pedro on Columbia River","",16.27769,-88.9609,18.99,9.365,7.055,18.95,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"256",265,"Tyrannus_verticalis","","migratory","taxonomy","21481",NA,"MM","Royal Ontario Museum","1935",6,"26","United States of America","Utah","Uintah County","2 mi S of Jensen","",40.34076,-109.345,13.665,7.92,6.445,19.475,38.945,124.58,93.02,"Adult","Male",31.2610370846043,"Tyrannus_verticalis"
"257",266,"Tyrannus_verticalis","","migratory","taxonomy","21482",NA,"MM","Royal Ontario Museum","1935",6,"27","United States of America","Utah","Uintah County","2 mi S of Jensen","",40.34076,-109.345,14.055,7.535,6.745,19.32,NA,NA,NA,"Adult","Male",NA,"Tyrannus_verticalis"
"260",269,"Tyrannus_couchii","","partial","taxonomy","21919",41.3,"MM","Louisiana State University Museum of tural Sciences","1956",11,"5","Belize","Orange Walk","Orange Walk District","Gallon Jug","",17.80196,-88.7647,14.625,9.615,NA,18.975,33.81,119.415,97.53,"Adult","Male",28.3130260017586,"Tyrannus_couchii"
"262",271,"Tyrannus_melancholicus","satrapa","partial","taxonomy","22033",NA,"MM","The Field Museum","1905",4,"20","Costa Rica","Cartago","","Orosi","",9.784623,-83.8419,16.695,9.585,7.025,17.955,27.58,116.08,93.54,"Adult","Male",23.7594762232943,"Tyrannus_melancholicus_satrapa"
"263",272,"Tyrannus_savana","monachus CA","sedentary","taxonomy","22038",NA,"MM","The Field Museum","1905",4,"25","Costa Rica","Cartago","","Orosi","",9.784411,-83.8416,11.55,6.75,5.065,17.865,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_monachus_CA"
